faction_gaia,Environment
faction_renegades,Renegades
faction_federation,Federation
faction_arachnid,Arachnid
,
// UNIT TYPES,
unit_0,Rifle Troopers
unit_0_descr,"Armed with Morita assault rifles, these squads form the backbone of the Mobile Infantry. They are effective in close to medium range combat against unarmored targets."
unit_1,Warrior
unit_2,Radio Operator
unit_2_descr,Radio communications are vital to the operations of the Federation Army. These units can call in reinforcements to strengthen any position on the battlefield they are deployed in.
unit_3,Radio Station
unit_4,Steel Bunker
unit_5,TAC Fighters
unit_6,Hopper
unit_7,Intel Bugs
unit_8,Wavebreaker Mortar
unit_9,HMG Turret
unit_9_descr,"This turret's twin machine guns are effective against lightly armored targets. The barrels tend to overheat from sustained fire however, resulting in a substantial cooldown time."
unit_10,Powered Suit Troopers
unit_10_descr,"These elite troopers are wearing powered armor suits, which offer excellent protection, mobility and the capacity to to carry various types of heavy weapons."
unit_11,Tiger
unit_12,Tanker
unit_13,Scorpion Bug
unit_14,Plasma Bug
unit_15,Plasma Grenadier
unit_16,Bombardier
unit_17,Brain Bug
unit_18,M11 Marauder (Flamethrower)
unit_25,M11 Marauder (Howitzer)
unit_40,M11 Marauder (Gatling Gun)
unit_18_descr,"The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. Equipped with a M2A 5-2 Flamethrower and Morita Cross Heavy Machine Gun, it possesses unmatched close-range firepower."
unit_25_descr,The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. Its M779 Ultralight-weight Howitzer complements its Morita Cross Heavy Machine Gun with long-range strike capability against heavily armored targets.
unit_40_descr,The M11 Babar 'Marauder' bipedal battle vehicle is the pinnacle of human weapons technology. Its M648 Vulcan Rotary Cannon can suppress and eradicate a wide range of adversaries while its Morita Cross Heavy Machine gun provides additional firepower.
unit_19,Royal Guard
unit_20,Capture Site
unit_21,Rocket Troopers
unit_21_descr,"To counter heavily armored threats, the M55 Rocket Launcher is armed standard with an armor-piercing warhead. Additional types of warheads are also available to experienced 'Rocket Troopers'."
unit_22,Powered Suit Troopers (Rocket)
unit_23,Mk II Troopers
unit_23_descr,"The Morita Mk II rifle provides excellent medium to long range fire support against light to medium armored targets with its underslung grenade launcher, but these units must be kept out of close combat engagements."
unit_24,Powered Suit Troopers (Rocket)
unit_27,Marker Flare
unit_29,Drop Site
unit_30,GK-16 MLAS
unit_31,Satellite Station
unit_32,GK-22 Heavy Gecko
unit_33,Powered Suit Troopers (SAW)
unit_34,Sensor Array
unit_35,Snipers
unit_35_descr,Snipers are trained to hit targets over a long range with impeccable accuracy. They excel against fragile targets such as Spitters and Hoppers but can also serve effectively as scouts.
unit_36,Powered Suit Troopers (SAW)
unit_37,Powered Suit Troopers
unit_38,DR-4 Viking
unit_42,Combat Engineers
unit_42_descr,"Combat Engineers can construct various defensive structures and weapons. For personal defense and offensive tasks, they wield a short range flamethrower that can stun and burn anything in its path."
unit_43,Powered Suit Troopers (ENG)
unit_44,Personnel
unit_45,Bug Hive
unit_46,Scientists
unit_47,Psi Ops
unit_48,Elite Guard
unit_49,Cargo Truck
unit_50,Chariot Bug
unit_51,Proximity Mines
unit_52,Barricade
unit_53,Wavebreaker (Destroyed)
unit_54,Collapsed Hive
unit_55,God Bug
unit_56,Bug Hive
unit_57,Collapsed Hive
unit_58,Militia
unit_59,Civilians
unit_61,Demolition Charge
unit_62,Bug Tunnel
unit_63,Brood Nest
unit_64,Colonists
